Entrez	NES	pvalue
Ctbp2	1.06513305765775	0.286815721596397
Neurod2	1.06386761087021	0.287388677470926
Zfp553	1.06210262848624	0.288189096975108
Jarid2	1.06174860755651	0.28834982628964
Tceanc2	1.06058265454505	0.288879608751737
Nkx2-9	1.05773441869735	0.290176538951876
Ybx3	1.05582594872246	0.291047740742082
Rfxank	1.04768934990386	0.294781755961406
Stat6	1.04700307606891	0.295098159471192
Emx1	1.04398137810643	0.296494005350952
Zfp839	1.03384320998771	0.301209467521923
Vsx1	1.03062182968374	0.302718195084383
Prdm1	1.03013958168306	0.302944486802397
Cdx1	1.02265677528334	0.306470155326482
Atoh1	1.02181501234781	0.306868462684162
Zbtb32	1.02067691114999	0.307407537048833
Zkscan17	1.01642116486907	0.309428871150961
Zfp750	1.01485704888397	0.310173974796688
Msc	1.00844780453247	0.313239533229119
Phtf2	1.0082014986071	0.313357738619556
Zkscan14	1.00527571760155	0.314764104229545
Aebp1	1.00384353056125	0.315454038672386
Irf3	1.00157045599164	0.31655109589457
Pou3f4	1.00078848962256	0.31692907548945
Prox1	0.998220023633717	0.318172678844147
Meox1	0.994921876940988	0.319774261847486
Hsf4	0.992484241317272	0.320961362992028
Esrrb	0.991805158634803	0.321292580732497
Patz1	0.990237885251635	0.322057858993041
Zfp428	0.98940894531727	0.322463099666893
Mycl	0.985967029865199	0.324149292099641
Zfp335	0.985696868631153	0.324281886556725
Irf1	0.980025488723019	0.327073537095037
Zfp318	0.978909013638025	0.327624938117522
Tfdp2	0.977199569562614	0.32847036107029
Zfp423	0.973081008607594	0.330513042029073
Sp2	0.969333797094879	0.332378671793217
Zfp579	0.969296278168956	0.332397385726152
Gbx2	0.963703733335032	0.3351944820785
Hoxb2	0.962961286029046	0.335566951812454
Zfp646	0.958771817794619	0.337673709529768
Scyl1	0.95810564717211	0.338009488149031
Zfp641	0.954426620065365	0.339867736847122
Zfp146	0.95369720616543	0.34023693478351
Utf1	0.953384380581635	0.34039535235742
Thap11	0.95271962150706	0.340732148984752
Zfp414	0.944809652607349	0.344756063016921
Glis3	0.94299495141862	0.345683485257536
Zbtb5	0.941914977314959	0.346236171409753
Zswim1	0.933827928905377	0.350392660329345
Tef	0.930865391066086	0.351923198978154
Rfx5	0.926967573041029	0.353943370785734
Ovol2	0.926880506216976	0.353988579527773
Zfp300	0.923772025842704	0.355605022794669
Hoxa13	0.920571603056943	0.357274133674655
Hr	0.917431513620995	0.358916565450407
Cited1	0.915782847477213	0.359780801649302
Zfp444	0.914316320742517	0.360550657184495
Nr4a2	0.912569852260258	0.361468816120026
Crtc2	0.911299769047634	0.362137448087671
Rreb1	0.910447922646241	0.362586334237262
Lhx8	0.910299852251602	0.362664396452489
Zfp57	0.9073598322482	0.364216543444777
Zfp418	0.907109373600531	0.364348961653511
Usf2	0.903613621804616	0.366200315709385
Irf6	0.902778239106339	0.366643602586567
Tfcp2l1	0.902431490120677	0.366827699442404
Pou2f2	0.89707067980069	0.369681202991095
Hmbox1	0.889467700889866	0.373751774338875
Znhit1	0.886625419563467	0.375280603584109
Cebpa	0.885801790501981	0.375724344835256
Ecsit	0.885486867239941	0.375894099577793
Lef1	0.879409303813675	0.379179389348676
Znhit6	0.877935337835561	0.379978810651293
Neurog1	0.876722371137073	0.38063745264402
Zfp536	0.874095605132913	0.382066190684187
Gli1	0.86887199932241	0.38491714645675
Hes7	0.86809454564527	0.385342576748072
Tfeb	0.867542092089394	0.385645059329885
Nkx2-2	0.86255509972224	0.388382126156898
Hinfp	0.858034777935055	0.390873259882558
Irx1	0.858011997598656	0.390885838574989
Prrxl1	0.850814615177508	0.3948723416442
Rhox4e	0.842987992827312	0.39923515912712
Phf2	0.8424108054372	0.399558046794812
Rhox13	0.840360107895299	0.400706509020465
Meis3	0.840031092585886	0.400890953520526
Esr2	0.839329475475005	0.401284447190298
Hoxa4	0.832458527623335	0.405150177930469
Dmrt1	0.832217704756275	0.405286072172158
Zbtb6	0.831169109645773	0.405878102716477
Nr2f6	0.828241731620691	0.407533614414257
Zfp113	0.827434471090405	0.407990849254249
Runx2	0.825131823457164	0.409296754223274
Gbx1	0.822935414696353	0.410544722094345
Npas4	0.821718686328727	0.411237021554653
Zbed3	0.820692711187056	0.411821323588444
